id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1452300589333942284,1452300589333942284,2021-10-24 10:46:57 Central Daylight Time,2021-10-24,10:46:57,-0500,864347902029709314,cryptocom,Crypto.com,,Give it all you’ve got #SV5 &amp; #LS18!  #F1🏎 #USGP🇺🇸 #CryptoF1,en,[],[],[],26,44,281,"['sv5', 'ls18', 'f1', 'usgp', 'cryptof1']",[],https://twitter.com/cryptocom/status/1452300589333942284,False,https://twitter.com/astonmartinf1/status/1452288783735574532,0,,,,,,,,[],,,,
1452296486423830531,1447847033549647873,2021-10-24 10:30:39 Central Daylight Time,2021-10-24,10:30:39,-0500,1265357157777752068,cryptocomcs,Crypto.com Customer Support,,"@RJ90984 @cryptocom Hello, please DM us with your referral code and details of the issue so we can advise accordingly on your withdrawals.",en,[],[],[],0,0,1,[],[],https://twitter.com/cryptocomcs/status/1452296486423830531,False,,0,,,,,,,,"[{'screen_name': 'RJ90984', 'name': 'RJ', 'id': '141820843'}, {'screen_name': 'cryptocom', 'name': 'Crypto.com', 'id': '864347902029709314'}]",,,,
1452296474071609353,1336878011287629824,2021-10-24 10:30:36 Central Daylight Time,2021-10-24,10:30:36,-0500,1265357157777752068,cryptocomcs,Crypto.com Customer Support,,"@JCrypto28 @cryptocom Hi there, please send us a DM so we can advise further on our card upgrade process.",en,[],[],[],0,0,0,[],[],https://twitter.com/cryptocomcs/status/1452296474071609353,False,,0,,,,,,,,"[{'screen_name': 'JCrypto28', 'name': 'JCryptoCLN', 'id': '1449356809819598849'}, {'screen_name': 'cryptocom', 'name': 'Crypto.com', 'id': '864347902029709314'}]",,,,
1452286443318087697,1452283032484945920,2021-10-24 09:50:44 Central Daylight Time,2021-10-24,09:50:44,-0500,1265357157777752068,cryptocomcs,Crypto.com Customer Support,,"@BobbyComplaints @cryptocom Hello, you can find it in the app by clicking on the ""Lion"" icon -&gt; Refer. There you will be able to locate the referral code at the bottom of the page.",en,[],[],[],0,0,0,[],[],https://twitter.com/cryptocomcs/status/1452286443318087697,False,,0,,,,,,,,"[{'screen_name': 'BobbyComplaints', 'name': 'dior boy', 'id': '1404242052448198656'}, {'screen_name': 'cryptocom', 'name': 'Crypto.com', 'id': '864347902029709314'}]",,,,
1452283425017286686,1452283032484945920,2021-10-24 09:38:45 Central Daylight Time,2021-10-24,09:38:45,-0500,1265357157777752068,cryptocomcs,Crypto.com Customer Support,,"@BobbyComplaints @cryptocom Hi there, please DM us with your referral code and details of the case at hand so we can check and advise further.",en,[],[],[],1,0,0,[],[],https://twitter.com/cryptocomcs/status/1452283425017286686,False,,0,,,,,,,,"[{'screen_name': 'BobbyComplaints', 'name': 'dior boy', 'id': '1404242052448198656'}, {'screen_name': 'cryptocom', 'name': 'Crypto.com', 'id': '864347902029709314'}]",,,,
1452280498416496647,1433455373084594183,2021-10-24 09:27:07 Central Daylight Time,2021-10-24,09:27:07,-0500,1265357157777752068,cryptocomcs,Crypto.com Customer Support,,"@Elena59623979 @cryptocom Hello, please DM us with details of the issue and your referral code. We'd be happy to look into it.",en,[],[],[],0,0,0,[],[],https://twitter.com/cryptocomcs/status/1452280498416496647,False,,0,,,,,,,,"[{'screen_name': 'Elena59623979', 'name': 'Elena', 'id': '1426659177016041476'}, {'screen_name': 'cryptocom', 'name': 'Crypto.com', 'id': '864347902029709314'}]",,,,
1452277608004128769,1347037340917645317,2021-10-24 09:15:38 Central Daylight Time,2021-10-24,09:15:38,-0500,1265357157777752068,cryptocomcs,Crypto.com Customer Support,,"@Maranda73118484 @cryptocom Hi there, please feel free to DM us with details of the issue as well as your referral code so we can take a look and advise accordingly.",en,[],[],[],0,0,0,[],[],https://twitter.com/cryptocomcs/status/1452277608004128769,False,,0,,,,,,,,"[{'screen_name': 'Maranda73118484', 'name': 'Maranda', 'id': '1396479438091653126'}, {'screen_name': 'cryptocom', 'name': 'Crypto.com', 'id': '864347902029709314'}]",,,,
1452277593605017600,1447847033549647873,2021-10-24 09:15:34 Central Daylight Time,2021-10-24,09:15:34,-0500,1265357157777752068,cryptocomcs,Crypto.com Customer Support,,"@KennethTaylorJ6 @cryptocom Hello there, please DM us with your referral code and details of the issue so we can take a look at your fiat wallet and assist accordingly.",en,[],[],[],1,0,1,[],[],https://twitter.com/cryptocomcs/status/1452277593605017600,False,,0,,,,,,,,"[{'screen_name': 'KennethTaylorJ6', 'name': '⚫️iamkennytaylor⚫️', 'id': '1378349875729944583'}, {'screen_name': 'cryptocom', 'name': 'Crypto.com', 'id': '864347902029709314'}]",,,,
1452267876036104197,1409489258369409029,2021-10-24 08:36:58 Central Daylight Time,2021-10-24,08:36:58,-0500,1265357157777752068,cryptocomcs,Crypto.com Customer Support,,"@SaLeehMuhammed1 @cryptocom Hello there, please feel free to DM us, and we'd be happy to assist accordingly with your questions.",en,[],[],[],0,0,0,[],[],https://twitter.com/cryptocomcs/status/1452267876036104197,False,,0,,,,,,,,"[{'screen_name': 'SaLeehMuhammed1', 'name': 'ᴼᶠᶠᴵᶜᴵᴬᴸ ˢᴬᴸᴱᴱᴴ📿', 'id': '2766177960'}, {'screen_name': 'cryptocom', 'name': 'Crypto.com', 'id': '864347902029709314'}]",,,,
1452267834218881037,1452169901775343621,2021-10-24 08:36:48 Central Daylight Time,2021-10-24,08:36:48,-0500,1265357157777752068,cryptocomcs,Crypto.com Customer Support,,"@MrMoveMan @cryptocom Hello there, feel free to DM us with your question so we can advise accordingly.",en,[],[],[],2,0,0,[],[],https://twitter.com/cryptocomcs/status/1452267834218881037,False,,0,,,,,,,,"[{'screen_name': 'MrMoveMan', 'name': 'MrMoveMan', 'id': '299143169'}, {'screen_name': 'cryptocom', 'name': 'Crypto.com', 'id': '864347902029709314'}]",,,,
