,crypto,crypto_date,starting_price,closing_price,high_price,low_price,volume,market_cap
0,Dogecoin,"Oct 24, 2021",$0.2514,$0.2819,$0.246,$0.277,"$5,278,760,541","$36,522,677,816"
1,Dogecoin,"Oct 23, 2021",$0.2445,$0.2531,$0.2416,$0.2517,"$1,502,684,867","$33,181,970,119"
2,Dogecoin,"Oct 22, 2021",$0.2425,$0.2528,$0.2365,$0.2442,"$1,829,875,043","$32,188,474,500"
3,Dogecoin,"Oct 21, 2021",$0.2548,$0.2583,$0.2423,$0.2424,"$1,742,570,934","$31,943,997,846"
4,Dogecoin,"Oct 20, 2021",$0.2455,$0.2616,$0.2424,$0.2541,"$1,853,058,770","$33,482,738,012"
5,Dogecoin,"Oct 19, 2021",$0.2474,$0.2546,$0.2407,$0.2458,"$1,675,967,829","$32,385,126,269"
6,Dogecoin,"Oct 18, 2021",$0.2378,$0.2714,$0.2375,$0.2473,"$5,003,365,533","$32,578,462,312"
7,Dogecoin,"Oct 17, 2021",$0.2372,$0.242,$0.2264,$0.2379,"$1,397,143,121","$31,338,963,692"
8,Dogecoin,"Oct 16, 2021",$0.2339,$0.2444,$0.2337,$0.2373,"$1,541,850,812","$31,255,918,528"
9,Dogecoin,"Oct 15, 2021",$0.2326,$0.2435,$0.2257,$0.2338,"$1,837,803,539","$30,790,379,743"
10,Dogecoin,"Oct 14, 2021",$0.2326,$0.2399,$0.2315,$0.2323,"$1,337,117,776","$30,588,468,217"
11,Dogecoin,"Oct 13, 2021",$0.2262,$0.2339,$0.2211,$0.2326,"$1,457,486,924","$30,624,714,119"
12,Dogecoin,"Oct 12, 2021",$0.2315,$0.2317,$0.2164,$0.2262,"$1,881,102,059","$29,788,167,318"
13,Dogecoin,"Oct 11, 2021",$0.2294,$0.2394,$0.2255,$0.2315,"$1,463,611,233","$30,477,765,029"
14,Dogecoin,"Oct 10, 2021",$0.2466,$0.2487,$0.2279,$0.2298,"$1,466,060,853","$30,251,025,152"
15,Dogecoin,"Oct 09, 2021",$0.2435,$0.252,$0.2418,$0.2466,"$1,484,990,033","$32,457,934,031"
16,Dogecoin,"Oct 08, 2021",$0.243,$0.2548,$0.2417,$0.2439,"$1,952,117,191","$32,093,380,137"
17,Dogecoin,"Oct 07, 2021",$0.2543,$0.2567,$0.2391,$0.2429,"$2,936,116,763","$31,967,965,605"
18,Dogecoin,"Oct 06, 2021",$0.252,$0.2715,$0.2431,$0.2551,"$4,659,725,421","$33,571,360,571"
19,Dogecoin,"Oct 05, 2021",$0.2412,$0.2678,$0.2336,$0.252,"$4,628,329,381","$33,157,592,575"
20,Dogecoin,"Oct 04, 2021",$0.2219,$0.2479,$0.2133,$0.2409,"$3,684,051,106","$31,685,535,496"
21,Dogecoin,"Oct 03, 2021",$0.2188,$0.2262,$0.2159,$0.2217,"$1,070,267,896","$29,169,261,268"
22,Dogecoin,"Oct 02, 2021",$0.2227,$0.225,$0.2155,$0.2191,"$1,166,058,975","$28,822,319,548"
23,Dogecoin,"Oct 01, 2021",$0.2044,$0.2246,$0.202,$0.223,"$1,435,469,263","$29,329,208,155"
24,Dogecoin,"Sep 30, 2021",$0.1989,$0.2058,$0.1979,$0.2042,"$916,819,792","$26,858,356,706"
25,Dogecoin,"Sep 29, 2021",$0.197,$0.2041,$0.195,$0.1989,"$926,737,135","$26,149,714,477"
26,Dogecoin,"Sep 28, 2021",$0.2,$0.2026,$0.1964,$0.1968,"$866,301,240","$25,874,539,190"
27,Dogecoin,"Sep 27, 2021",$0.2052,$0.2093,$0.2001,$0.2003,"$838,297,166","$26,326,505,940"
28,Dogecoin,"Sep 26, 2021",$0.2087,$0.2091,$0.1945,$0.205,"$1,147,321,467","$26,941,578,027"
29,Dogecoin,"Sep 25, 2021",$0.2093,$0.2126,$0.2049,$0.2086,"$1,067,132,277","$27,422,234,955"
30,Dogecoin,"Sep 24, 2021",$0.2247,$0.2283,$0.1977,$0.2095,"$1,883,155,313","$27,525,951,862"
31,Dogecoin,"Sep 23, 2021",$0.2247,$0.2271,$0.2181,$0.2248,"$1,169,581,249","$29,544,289,996"
32,Dogecoin,"Sep 22, 2021",$0.2008,$0.2294,$0.2002,$0.2249,"$2,016,471,206","$29,544,423,841"
