id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1451002239758348289,1451002239758348289,2021-10-20 20:47:46 Central Daylight Time,2021-10-20,20:47:46,-0500,106492441,hireztherapper,Hi-Rez,,DOGE COIN CROSSES 30 CENTS TOMORROW...  #DOGE #DOGECOIN,en,[],[],[],42,73,471,"['doge', 'dogecoin']",[],https://twitter.com/HiRezTheRapper/status/1451002239758348289,False,,0,,,,,,,,[],,,,
1450942254143533057,1450942254143533057,2021-10-20 16:49:25 Central Daylight Time,2021-10-20,16:49:25,-0500,1358176095850229761,prothedoge,SlumDOGE Millionaire,,All time highs are great but the higher lows will forever my the real winner here. #dogecoin,en,[],[],[],54,69,544,['dogecoin'],[],https://twitter.com/ProTheDoge/status/1450942254143533057,False,,0,,,,,,,,[],,,,
1450922136000888832,1450922136000888832,2021-10-20 15:29:28 Central Daylight Time,2021-10-20,15:29:28,-0500,1358176095850229761,prothedoge,SlumDOGE Millionaire,,Let’s go #dogearmy!!!! Apparently Bitplaza has officially started accepting #dogecoin now! Let’s goOoOooOoO 🐕🚀🌔,en,[],[],[],29,133,439,"['dogearmy', 'dogecoin']",[],https://twitter.com/ProTheDoge/status/1450922136000888832,False,https://twitter.com/bitplazamobile/status/1450858125297430532,0,,,,,,,,[],,,,
1450918429003640836,1450918429003640836,2021-10-20 15:14:44 Central Daylight Time,2021-10-20,15:14:44,-0500,34685057,christinebarnum,Christine Barnum,,"#bitcoin $66,067 #Ethereum $4,101 #dogecoin $0.25 $BTC $ETH $DOGE 🔥",en,[],[],[],45,71,566,"['bitcoin', 'ethereum', 'dogecoin']","['btc', 'eth', 'doge']",https://twitter.com/christinebarnum/status/1450918429003640836,False,,0,,,,,,,,[],,,,
1450910261733429251,1450910261733429251,2021-10-20 14:42:17 Central Daylight Time,2021-10-20,14:42:17,-0500,805532293951606785,mattwallace888,Matt Wallace,,#DOGECOIN IS STARTING TO SPIKE!!!,en,[],[],[],314,453,2620,['dogecoin'],[],https://twitter.com/MattWallace888/status/1450910261733429251,False,,0,,,,,,,,[],,,,
1450904999865696256,1450904999865696256,2021-10-20 14:21:23 Central Daylight Time,2021-10-20,14:21:23,-0500,1358176095850229761,prothedoge,SlumDOGE Millionaire,,Ima just leave this here. #dogecoin  https://t.co/puAljpEPOv,en,[],[],['https://pbs.twimg.com/media/FCKmaAtVcAE_Pze.jpg'],98,302,1140,['dogecoin'],[],https://twitter.com/ProTheDoge/status/1450904999865696256,False,,1,https://pbs.twimg.com/media/FCKmaAtVcAE_Pze.jpg,,,,,,,[],,,,
1450903538192683017,1450903538192683017,2021-10-20 14:15:34 Central Daylight Time,2021-10-20,14:15:34,-0500,1358176095850229761,prothedoge,SlumDOGE Millionaire,,I’ve thought about this for weeks now and I think I’ve come up with the perfect analogy brand wise:   #Dogecoin is Pokémon #ShibaInuCoin is Digimon.  I said what I said. 🚀,en,[],[],[],148,56,641,"['dogecoin', 'shibainucoin']",[],https://twitter.com/ProTheDoge/status/1450903538192683017,False,,0,,,,,,,,[],,,,
1450896398056972293,1450847186753765379,2021-10-20 13:47:12 Central Daylight Time,2021-10-20,13:47:12,-0500,1295479869736804352,pacasohomes,Pacaso,,Can you spot the hidden #crypto in these Pacaso homes?  🔎🕵️  https://t.co/4yNolJJ5gC  Here are some clues to help on your search for hidden #dogecoin #bitcoin #litecoin #ethereum   @Bitcoin @BitPay @LiteCoinNews @ethereum @dogecoin @DogecoinRise @ForbesCrypto  https://t.co/cPl0V428Qk,en,"[{'screen_name': 'bitcoin', 'name': 'bitcoin', 'id': '357312062'}, {'screen_name': 'bitpay', 'name': 'bitpay', 'id': '915465450'}, {'screen_name': 'litecoinnews', 'name': 'litecoin news', 'id': '1327769568'}, {'screen_name': 'ethereum', 'name': 'ethereum', 'id': '2312333412'}, {'screen_name': 'dogecoin', 'name': 'dogecoin', 'id': '2235729541'}, {'screen_name': 'dogecoinrise', 'name': 'ðogecoinrise 🚀🌕', 'id': '1345576584204353543'}, {'screen_name': 'forbescrypto', 'name': 'forbes crypto', 'id': '902282851499917312'}]",['http://pacaso.com/listings'],['https://pbs.twimg.com/tweet_video_thumb/FCKeXl5VUAIA0QO.jpg'],2,4,6,"['crypto', 'dogecoin', 'bitcoin', 'litecoin', 'ethereum']",[],https://twitter.com/PacasoHomes/status/1450896398056972293,False,,1,https://pbs.twimg.com/tweet_video_thumb/FCKeXl5VUAIA0QO.jpg,,,,,,,[],,,,
1450890643253825537,1450890643253825537,2021-10-20 13:24:20 Central Daylight Time,2021-10-20,13:24:20,-0500,1358176095850229761,prothedoge,SlumDOGE Millionaire,,Just know I’m working on something special 👀🤫🚀🌔 #dogecoin  https://t.co/7tImaGd89i,en,[],[],['https://pbs.twimg.com/media/FCKZWYdVcAISNAp.jpg'],61,74,562,['dogecoin'],[],https://twitter.com/ProTheDoge/status/1450890643253825537,False,,1,https://pbs.twimg.com/media/FCKZWYdVcAISNAp.jpg,,,,,,,[],,,,
1450888024829562882,1450888024829562882,2021-10-20 13:13:55 Central Daylight Time,2021-10-20,13:13:55,-0500,1358176095850229761,prothedoge,SlumDOGE Millionaire,,"Funny thing is - I called everyone I knew to buy #doge back in Feb but it was so many ppl I couldn’t list out all the reasons to buy on every call, so this is literally how it would go:  Me: yo, buy #dogecoin  Them: why?  Me: it’s going to blow Them: how? Me: trust me bro *click*",en,[],[],[],25,26,242,"['doge', 'dogecoin']",[],https://twitter.com/ProTheDoge/status/1450888024829562882,False,,0,,,,,,,,[],,,,
